type;name
mammal;aardvark
mammal;antelope
fish;bass
mammal;bear
mammal;boar
mammal;buffalo
mammal;calf
fish;carp
fish;catfish
mammal;cavy
mammal;cheetah
bird;chicken
fish;chub
invertebrate;clam
invertebrate;crab
invertebrate;crayfish
bird;crow
mammal;deer
fish;dogfish
mammal;dolphin
bird;dove
bird;duck
mammal;elephant
bird;flamingo
insect;flea
amphibian;frog
mammal;fruitbat
mammal;giraffe
mammal;girl
insect;gnat
mammal;goat
mammal;gorilla
bird;gull
fish;haddock
mammal;hamster
mammal;hare
bird;hawk
fish;herring
insect;honeybee
insect;housefly
bird;kiwi
insect;ladybird
bird;lark
mammal;leopard
mammal;lion
invertebrate;lobster
mammal;lynx
mammal;mink
mammal;mole
mammal;mongoose
insect;moth
amphibian;newt
invertebrate;octopus
mammal;opossum
mammal;oryx
bird;ostrich
bird;parakeet
bird;penguin
bird;pheasant
fish;pike
fish;piranha
reptile;pitviper
mammal;platypus
mammal;polecat
mammal;pony
mammal;porpoise
mammal;puma
mammal;pussycat
mammal;raccoon
mammal;reindeer
bird;rhea
invertebrate;scorpion
fish;seahorse
mammal;seal
mammal;sealion
reptile;seasnake
invertebrate;seawasp
bird;skimmer
bird;skua
reptile;slowworm
invertebrate;slug
fish;sole
bird;sparrow
mammal;squirrel
invertebrate;starfish
fish;stingray
bird;swan
insect;termite
amphibian;toad
reptile;tortoise
reptile;tuatara
fish;tuna
mammal;vampire
mammal;vole
bird;vulture
mammal;wallaby
insect;wasp
mammal;wolf
invertebrate;worm
bird;wren
